image_id,relative_path,label,label_id,domain,data_variant,split,protocol
TFR_coal_000004,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004291_jpg.rf.cc6e5b52c797e7fce39db172a86ea63f_4.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000005,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_9.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000006,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004268_jpg.rf.3ffeea73e083d9aceccac57a6350a974_9.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000007,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004289_jpg.rf.e8caa860104c8866361fe05d8273d8b4_7.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000008,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004268_jpg.rf.3ffeea73e083d9aceccac57a6350a974_10.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000009,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004274_jpg.rf.f16ad7568223f6454eabd2d3b9bf374a_7.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000010,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004268_jpg.rf.3ffeea73e083d9aceccac57a6350a974_8.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000011,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_2.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000012,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_3.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000013,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004268_jpg.rf.3ffeea73e083d9aceccac57a6350a974_7.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000014,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004291_jpg.rf.cc6e5b52c797e7fce39db172a86ea63f_6.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000015,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004274_jpg.rf.f16ad7568223f6454eabd2d3b9bf374a_2.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000016,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004289_jpg.rf.e8caa860104c8866361fe05d8273d8b4_5.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000017,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004268_jpg.rf.3ffeea73e083d9aceccac57a6350a974_1.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000018,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004291_jpg.rf.cc6e5b52c797e7fce39db172a86ea63f_5.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000019,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004291_jpg.rf.cc6e5b52c797e7fce39db172a86ea63f_3.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000020,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_10.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000021,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004289_jpg.rf.e8caa860104c8866361fe05d8273d8b4_9.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000001,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004036_jpg.rf.04befe4ad105c817d0847d2cf29ae136_7.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000002,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004019_jpg.rf.6d3bfcd41e53756520ef05bf810e7c35_7.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000003,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004024_jpg.rf.6b1093e6ca68b4c57c4c306ba2cce900_8.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000004,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004040_jpg.rf.7a1c88bc43f1d8774a7d28c082a2751d_2.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000005,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004024_jpg.rf.6b1093e6ca68b4c57c4c306ba2cce900_9.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000006,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004040_jpg.rf.7a1c88bc43f1d8774a7d28c082a2751d_1.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000007,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004015_jpg.rf.ce75108dc9c00aee9ef8d64c30d81aee_1.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000008,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004036_jpg.rf.04befe4ad105c817d0847d2cf29ae136_0.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000009,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004040_jpg.rf.7a1c88bc43f1d8774a7d28c082a2751d_5.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000010,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004019_jpg.rf.6d3bfcd41e53756520ef05bf810e7c35_5.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000011,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004036_jpg.rf.04befe4ad105c817d0847d2cf29ae136_2.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000012,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004019_jpg.rf.6d3bfcd41e53756520ef05bf810e7c35_6.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000013,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004040_jpg.rf.7a1c88bc43f1d8774a7d28c082a2751d_0.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000014,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004024_jpg.rf.6b1093e6ca68b4c57c4c306ba2cce900_5.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000015,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004015_jpg.rf.ce75108dc9c00aee9ef8d64c30d81aee_2.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000016,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004024_jpg.rf.6b1093e6ca68b4c57c4c306ba2cce900_6.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000017,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004005_jpg.rf.904fb44ac57c94a90371811d40a897de_1.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000018,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004024_jpg.rf.6b1093e6ca68b4c57c4c306ba2cce900_7.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000019,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004004_jpg.rf.f95dd1a11bc9fb9e93d69dbb211b630b_0.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000020,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004004_jpg.rf.f95dd1a11bc9fb9e93d69dbb211b630b_1.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_gangue_000021,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004005_jpg.rf.904fb44ac57c94a90371811d40a897de_0.jpg,gangue,1,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000022,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_5.jpg,coal,0,target,Target_Domain_Field_Raw,val,P2
TFR_coal_000023,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004294_jpg.rf.4a9b199fe02b9a6dd005d3d885657e2c_0.jpg,coal,0,target,Target_Domain_Field_Raw,val,P2
TFR_coal_000024,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004289_jpg.rf.e8caa860104c8866361fe05d8273d8b4_6.jpg,coal,0,target,Target_Domain_Field_Raw,val,P2
TFR_coal_000025,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004274_jpg.rf.f16ad7568223f6454eabd2d3b9bf374a_6.jpg,coal,0,target,Target_Domain_Field_Raw,val,P2
TFR_gangue_000022,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004024_jpg.rf.6b1093e6ca68b4c57c4c306ba2cce900_10.jpg,gangue,1,target,Target_Domain_Field_Raw,val,P2
TFR_gangue_000023,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004036_jpg.rf.04befe4ad105c817d0847d2cf29ae136_1.jpg,gangue,1,target,Target_Domain_Field_Raw,val,P2
TFR_gangue_000024,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004015_jpg.rf.ce75108dc9c00aee9ef8d64c30d81aee_0.jpg,gangue,1,target,Target_Domain_Field_Raw,val,P2
TFR_gangue_000025,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004004_jpg.rf.f95dd1a11bc9fb9e93d69dbb211b630b_3.jpg,gangue,1,target,Target_Domain_Field_Raw,val,P2
